File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\services\MessageService.js,95,71,40,9,20,0,4,20,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\services\ProjectService.js,600,425,237,56,109,0,66,293,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\services\ReportService.js,26,24,12,2,2,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\services\SlideSevice.js,7,5,5,1,1,0,1,3,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\services\UserService.js,129,98,57,12,22,0,9,31,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\services\Admin\AdminCategoryService.js,54,42,24,5,7,0,5,16,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\services\Admin\AdminMessageService.js,5,3,3,0,2,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\services\Admin\AdminProjectService.js,129,97,59,13,18,0,14,89,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\services\Admin\AdminReportService.js,38,31,19,4,3,0,4,20,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\services\Admin\AdminSlideService.js,74,57,37,6,11,0,6,26,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\services\Admin\AdminUserService.js,129,113,61,13,13,0,3,16,0,0
